,BOTH,BOTH,BOTH,BOTH,PHONE,PHONE,PHONE,PHONE,WEARABLE,WEARABLE,WEARABLE,WEARABLE
,Coef,t,p,sig,Coef,t,p,sig,Coef,t,p,sig
Intercept,56.37337760149451,9.418937856629663,4.556740163738435e-21,***,27.123309845610688,4.377812735937938,1.1987627922973162e-05,***,16.47896327857527,3.076894428680426,0.0020916936740223123,**
AGE,0.06474279592330107,0.4124759847047257,0.6799905794223908,,0.04251552306861157,0.2616636749294788,0.7935807481941635,,-0.10738084096340447,-0.7637681614124329,0.4450054133971526,
C(GENDER)[T.M],-3.6349838401415555,-1.4294009626607027,0.15288902189175957,,4.4964619090443865,1.7080966607098969,0.08761840842706713,,-0.8634283098246534,-0.3787534100822168,0.7048709874863217,
AVG_DAILY_STEP,1.4410638377846623,3.455954485395434,0.0005483479042375808,***,-0.2385263548771298,-0.5525171536828065,0.5805940851739115,,-1.19366851962726,-3.353904223310246,0.0007967993755769339,***
C(USER_GROUP)[T.1. Phone to Both],-7.841461393178533,-2.284553973602868,0.022338994362516226,*,2.7263782822109213,0.7673267023529563,0.4428872961430721,,5.119963348161669,1.6640188709276835,0.09610865828911272,
C(USER_GROUP)[T.2. Wearable Dominant],-5.281395110733662,-1.5992970549550067,0.1097546136166053,,-8.038952995546095,-2.3516320350379716,0.018691254716300836,*,13.324194546983822,4.502421502466038,6.718357215248407e-06,***
C(USER_GROUP)[T.3. Phone Dominant],-35.12529936805953,-9.540543740228523,1.4208537134986665e-21,***,37.523305925472584,9.845596123599698,7.161341540406048e-23,***,-2.3878814565001343,-0.724416425677704,0.4688101186740329,
C(WEEKEND)[T.True],-7.314668861024771,-7.672852349038425,1.6821308413783116e-14,***,7.662638079348891,7.759694680427778,8.513408823167715e-15,***,-0.33765587326045265,-0.5205196891087756,0.6027014085213444,
DAILY_ACTIVE_LEVEL,0.18323711671968687,13.66317099513701,1.684840634802151e-42,***,-0.1005054164742746,-7.235146384131305,4.650272779333443e-13,***,-0.08239361975283645,-8.983560292818414,2.621437188538265e-19,***
MPA_DUT,0.40550019712162205,0.5526927475774626,0.5804738203180462,,-3.890515402124408,-5.119589551798183,3.062013437597586e-07,***,3.475340995810934,6.895911739102713,5.352041851541234e-12,***
MVPA_DUT,1.5058054977285387,0.895551395823325,0.37049240436420283,,-4.7531199634747505,-2.728449280719134,0.006363287481546052,**,3.1196391182753844,2.714295610741039,0.006641687042998134,**
VPA_DUT,-14.682823502540352,-2.668846613870126,0.007611220014297873,**,-8.168031162922848,-1.4338134760047947,0.15162549828668684,,23.034460421293417,6.122323801025258,9.222037258597079e-10,***
